NSE,,BSE,NSE.SYMBOL,BSE.SYMBOL
HCL Infosystems Limited,,India Cements Capital Ltd,HCL-INSYS,511355
HCL Technologies Limited,,Ad-Manum Finance Ltd,HCLTECH,511359
HDFC Asset Management Company Limited,,Mehta Integrated Finance Ltd,HDFCAMC,511377
HDFC Bank Limited,,Inter Globe Finance Ltd,HDFCBANK,511391
HDFC Life Insurance Company Limited,,Munoth Communication Ltd,HDFCLIFE,511401
Heads UP Ventures Limited,,Shristi Infrastructure Development Corporation Ltd,HEADSUP,511411
HEC Infra Projects Limited,,Crest Ventures Ltd,HECPROJECT,511413
HEG Limited,,Vakrangee Ltd,HEG,511431
HeidelbergCement India Limited,,Gujarat Credit Corporation Ltd,HEIDELBERG,511441
Hemisphere Properties India Limited,,Sylph Technologies Ltd,HEMIPROP,511447
Heranba Industries Limited,,Dharani Finance Ltd,HERANBA,511451
Hercules Hoists Limited,,Alexander Stamps And Coin Ltd,HERCULES,511463
Heritage Foods Limited,,Indbank Merchant Banking Services Ltd,HERITGFOOD,511473
Hero MotoCorp Limited,,Shrydus Industries Ltd,HEROMOTOCO,511493
Hester Biosciences Limited,,Bharat Bhushan Finance & Commodity Brokers Ltd,HESTERBIO,511501
Heubach Colorants India Limited,,Capital Trust Ltd,HEUBACHIND,511505
Hexa Tradex Limited,,Ushakiran Finance Ltd,HEXATRADEX,511507
Hexaware Technologies Limited,,Vivo Bio Tech Ltd,HEXT,511509
HFCL Limited,,Veerhealth Care Ltd,HFCL,511523
H.G. Infra Engineering Limited,,Pan India Corporation Ltd,HGINFRA,511525
Hinduja Global Solutions Limited,,Sahara Housingfina Corporation Ltd,HGS,511533
Hikal Limited,,NDA Securities Ltd,HIKAL,511535
Hilton Metal Forging Limited,,GSB Finance Ltd,HILTON,511543
Himatsingka Seide Limited,,Morarka Finance Ltd,HIMATSEIDE,511549
Hindalco Industries Limited,,Monarch Networth Capital Ltd,HINDALCO,511551
Hindustan Composites Limited,,Pro Fin Capital Services Ltd,HINDCOMPOS,511557
Hindcon Chemicals Limited,,Times Guaranty Ltd,HINDCON,511559
Hindustan Copper Limited,,Sanchay Finvest Ltd,HINDCOPPER,511563
Hindustan Motors Limited,,Som Datt Finance Corporation Ltd,HINDMOTORS,511571
Hindusthan National Glass & Industries Limited,,Savani Financials Ltd,HINDNATGLS,511577
Hindustan Oil Exploration Company Limited,,Befound Movement Ltd,HINDOILEXP,511585
Hindustan Petroleum Corporation Limited,,Avonmore Capital & Management Services Ltd,HINDPETRO,511589
Hindustan Unilever Limited,,Libord Finance Ltd,HINDUNILVR,511593
Hindware Home Innovation Limited,,Yash Management & Satellite Ltd,HINDWAREAP,511601
Hindustan Zinc Limited,,Arihant Capital Markets Ltd,HINDZINC,511605
Hind Rectifiers Limited,,ISL Consulting Ltd,HIRECT,511609
Hisar Metal Industries Limited,,DCM Financial Services Ltd,HISARMETAL,511611
Hi-Tech Pipes Limited,,RR Financial Consultants Ltd,HITECH,511626
Hitech Corporation Limited,,Fedders Holding Ltd,HITECHCORP,511628
The Hi-Tech Gears Limited,,Sambhaav Media Ltd,HITECHGEAR,511630
HLE Glascoat Limited,,Dugar Housing Developments Ltd,HLEGLAS,511634
HLV LIMITED,,DJS Stock & Shares Ltd,HLVLTD,511636
HMA Agro Industries Limited,,Omega Interactive Technologies Ltd,HMAAGRO,511644
HMT Limited,,Sugal & Damani Share Brokers Ltd,HMT,511654
Hindustan Media Ventures Limited,,Nettlinx Ltd,HMVL,511658
Hindustan Foods Limited,,BGIL Films & Technologies Ltd,HNDFDS,511664
Home First Finance Company India Limited,,Scan Steels Ltd,HOMEFIRST,511672
Honasa Consumer Limited,,GIC Housing Finance Ltd,HONASA,511676
Honeywell Automation India Limited,,Ajcon Global Services Ltd,HONAUT,511692
Honda India Power Products Limited,,Chartered Capital & Investment Ltd,HONDAPOWER,511696
HOV Services Limited,,Standard Capital Markets Ltd,HOVS,511700
HP Adhesives Limited,,YOGI Ltd,HPAL,511702
Hindprakash Industries Limited,,Cubical Financial Services Ltd,HPIL,511710
HPL Electric & Power Limited,,Relic Technologies Ltd,HPL,511712
Himadri Speciality Chemical Limited,,Nimbus Projects Ltd,HSCL,511714
HT Media Limited,,Invigorated Business Consulting Ltd,HTMEDIA,511716
Hubtown Limited,,Baid Finserv Ltd,HUBTOWN,511724
Housing & Urban Development Corporation Limited,,Vipul Ltd,HUDCO,511726
Huhtamaki India Limited,,KZ Leasing & Finance Ltd,HUHTAMAKI,511728
Hybrid Financial Services Limited,,Pasupati Fincap Ltd,HYBRIDFIN,511734
Hyundai Motor India Limited,,Ruparel Food Products Ltd,HYUNDAI,511740
ICDS Limited,,Ugro Capital Ltd,ICDSLTD,511742
Ice Make Refrigeration Limited,,Shalibhadra Finance Ltd,ICEMAKE,511754
ICICI Bank Limited,,Abirami Financial Services India Ltd,ICICIBANK,511756
ICICI Lombard General Insurance Company Limited,,Mansi Finance (Chennai) Ltd,ICICIGI,511758
ICICI Prudential Life Insurance Company Limited,,Seven Hill Industries Ltd,ICICIPRULI,511760
Indo Count Industries Limited,,Aastamangalam Finance Ltd,ICIL,511764
ICRA Limited,,Muthoot Capital Services Ltd,ICRA,511766
IDBI Bank Limited,,Master Trust Ltd,IDBI,511768
Vodafone Idea Limited,,Nilkanth Engineering Ltd,IDEA,512004
Ideaforge Technology Limited,,EFC (I) Ltd,IDEAFORGE,512008
IDFC First Bank Limited,,Sobhagya Mercantile Ltd,IDFCFIRSTB,512014
Indiabulls Enterprises Limited,,CNI Research Ltd,IEL,512018
Indian Energy Exchange Limited,,Saraswati Commercial India Ltd,IEX,512020
IFB Agro Industries Limited,,Winro Commercial India Ltd,IFBAGRO,512022
IFB Industries Limited,,Banganga Paper Industries Ltd,IFBIND,512025
IFCI Limited,,Vega Jewellers Ltd,IFCI,512026
IFGL Refractories Limited,,Kapil Cotex Ltd,IFGLEXPOR,512036
Igarashi Motors India Limited,,TCC Concept Ltd,IGARASHI,512038
International Gemmological Institute (India) Limited,,Royal India Corporation Ltd,IGIL,512047
Indraprastha Gas Limited,,Luharuka Media & Infra Ltd,IGL,512048
IG Petrochemicals Limited,,Ventura Guaranty Ltd,IGPL,512060
IIFL Finance Limited,,Sanmitra Commercial Ltd,IIFL,512062
IIFL Capital Services Limited,,Wardwizard Healthcare Ltd,IIFLCAPS,512063
Industrial Investment Trust Limited,,Vishvprabha Ventures Ltd,IITL,512064
IKIO Technologies Limited,,Mrugesh Trading Ltd,IKIO,512065
Inventurus Knowledge Solutions Limited,,Deccan Gold Mines Ltd,IKS,512068
IL&FS Engineering and Construction Company Limited,,UPL Ltd,IL&FSENGG,512070
IL&FS Transportation Networks Limited,,Nibe Ordnance and Maritime Ltd,IL&FSTRANS,512091
Imagicaaworld Entertainment Limited,,Cranes Software International Ltd,IMAGICAA,512093
Indian Metals & Ferro Alloys Limited,,Saianand Commercial Ltd,IMFA,512097
India Motor Parts and Accessories Limited,,Eyantra Ventures Ltd,IMPAL,512099
Impex Ferro Tech Limited,,Triochem Products Ltd,IMPEXFERRO,512101
INCREDIBLE INDUSTRIES LIMITED,,Nidhi Granites Ltd,INCREDIBLE,512103
Indbank Merchant Banking Services Limited,,Rose Merc Ltd,INDBANK,512115
Indegene Limited,,Twin Roses Trades & Agencies Ltd,INDGN,512117
The Indian Hotels Company Limited,,Signet Industries Ltd,INDHOTEL,512131
The India Cements Limited,,Kajal Synthetics & Silk Mills Ltd,INDIACEM,512147
India Glycols Limited,,Avance Technologies Ltd,INDIAGLYCO,512149
Indiamart Intermesh Limited,,M Lakhamsi Industries Ltd,INDIAMART,512153
Indian Bank,,Terraform Realstate Ltd,INDIANB,512157
Indian Card Clothing Company Limited,,Securekloud Technologies Ltd,INDIANCARD,512161
Indian Hume Pipe Company Limited,,Abans Enterprises Ltd,INDIANHUME,512165
India Shelter Finance Corporation Limited,,Vama Industries Ltd,INDIASHLTR,512175
InterGlobe Aviation Limited,,Sunteck Realty Ltd,INDIGO,512179
Indigo Paints Limited,,Bentley Commercial Enterprises Ltd,INDIGOPNTS,512195
India Nippon Electricals Limited,,Silveroak Commercials Ltd,INDNIPPON,512197
Indo Amines Limited,,Classic Electricals Ltd,INDOAMIN,512213
Indo Borax & Chemicals Limited,,Prism Medico and Pharmacy Ltd,INDOBORAX,512217
Indoco Remedies Limited,,SPV Global Trading Ltd,INDOCO,512221
Indo Farm Equipment Limited,,Veritas (India) Ltd,INDOFARM,512229
Indo Rama Synthetics (India) Limited,,Jai Corp Ltd,INDORAMA,512237
IndoStar Capital Finance Limited,,Nivi Trading Ltd,INDOSTAR,512245
Indo Tech Transformers Limited,,Ashirwad Capital Ltd,INDOTECH,512247
Indo Thai Securities Limited,,Swasti Vinayaka Art And Heritage Corporation Ltd,INDOTHAI,512257
Indo Us Biotech Limited,,Bajaj Global Ltd,INDOUS,512261
Indowind Energy Limited,,Media Matrix Worldwide Ltd,INDOWIND,512267
Indraprastha Medical Corporation Limited,,Tashi India Ltd,INDRAMEDCO,512271
Ind-Swift Laboratories Limited,,Autoriders International Ltd,INDSWFTLAB,512277
Ind-Swift Limited,,Speedage Commercials Ltd,INDSWFTLTD,512291
Indian Terrain Fashions Limited,,Bhagyanagar India Ltd,INDTERRAIN,512296
IndusInd Bank Limited,,Shantai Industries Ltd,INDUSINDBK,512297
Indus Towers Limited,,Chambal Breweries & Distilleries Ltd,INDUSTOWER,512301
Infibeam Avenues Limited,,Mansoon Trading Company Ltd,INFIBEAM,512303
InfoBeans Technologies Limited,,SG Mart Ltd,INFOBEAN,512329
Infomedia Press Limited,,CES Ltd,INFOMEDIA,512341
Infosys Limited,,Aravali Securities & Finance Ltd,INFY,512344
Ingersoll Rand (India) Limited,,Yash Trading & Finance Ltd,INGERRAND,512345
Innova Captab Limited,,Cupid Breweries And Distilleries Ltd,INNOVACAP,512361
Innovana Thinklabs Limited,,Sheraton Properties & Finance Ltd,INNOVANA,512367
Inox Green Energy Services Limited,,Magnanimous Trade & finance Ltd,INOXGREEN,512377
INOX India Limited,,Cressanda Railway Solutions Ltd,INOXINDIA,512379
Inox Wind Limited,,Starteck Finance Ltd,INOXWIND,512381
Insecticides (India) Limited,,Shardul Securities Ltd,INSECTICID,512393
Inspirisys Solutions Limited,,Sera Investments & Finance India Ltd,INSPIRISYS,512399
Intellect Design Arena Limited,,Bengal Steel Industries Ltd,INTELLECT,512404
Intense Technologies Limited,,Uniworth Securities Ltd,INTENTECH,512408
Interarch Building Solutions Limited,,Mercury Trade Links Ltd,INTERARCH,512415
International Conveyors Limited,,Nirav Commercials Ltd,INTLCONV,512425
Inventure Growth & Securities Limited,,White Hall Commercial Company Ltd,INVENTURE,512431
Indian Overseas Bank,,Asutosh Enterprise Ltd,IOB,512433
Indian Oil Corporation Limited,,Apollo Finvest India Ltd,IOC,512437
IOL Chemicals and Pharmaceuticals Limited,,Enbee Trade & Finance Ltd,IOLCP,512441
ION Exchange (India) Limited,,Ganon Products Ltd,IONEXCHANG,512443
IPCA Laboratories Limited,,Devinsu Trading Ltd,IPCALAB,512445
India Pesticides Limited,,Shri Jagdamba Polymers Ltd,IPL,512453
IRB Infrastructure Developers Limited,,Lloyds Metals and Energy Ltd,IRB,512455
Ircon International Limited,,Punctual Trading Ltd,IRCON,512461
Indian Railway Catering And Tourism Corporation Limited,,Lloyds Enterprises Ltd,IRCTC,512463
Indian Renewable Energy Development Agency Limited,,Betex India Ltd,IREDA,512477
Indian Railway Finance Corporation Limited,,Virya Resources Ltd,IRFC,512479
Iris Business Services Limited,,Dhanlaxmi Cotex Ltd,IRIS,512485
Iris Clothings Limited,,Oasis Securities Ltd,IRISDOREME,512489
IRM Energy Limited,,Garnet International Ltd,IRMENERGY,512493
Intrasoft Technologies Limited,,Shalimar Productions Ltd,ISFT,512499
Isgec Heavy Engineering Limited,,Meenakshi Steel Industries Ltd,ISGEC,512505
Ishan Dyes and Chemicals Limited,,Varun Mercantile Ltd,ISHANCH,512511
ITC Limited,,Vinayak Vanijya Ltd,ITC,512517
ITC Hotels Limited,,Donear Industries Ltd,ITCHOTELS,512519
India Tourism Development Corporation Limited,,Super Sales India Ltd,ITDC,512527
ITD Cementation India Limited,,Sequent Scientific Ltd,ITDCEM,512529
ITI Limited,,State Trading Corporation of India Ltd,ITI,512531
IL&FS Investment Managers Limited,,Zenith Exports Ltd,IVC,512553
IVP Limited,,Kohinoor Foods Ltd,IVP,512559
Inox Wind Energy Limited,,Neelkanth Ltd,IWEL,512565
Le Travenues Technology Limited,,Avanti Feeds Ltd,IXIGO,512573
IZMO Limited,,Zodiac-JRD-MKJ Ltd,IZMO,512587
The Jammu & Kashmir Bank Limited,,Sita Enterprises Ltd,J&KBANK,512589
Jagran Prakashan Limited,,Pulsar International Ltd,JAGRAN,512591
Jagsonpal Pharmaceuticals Limited,,Manbro Industries Ltd,JAGSNPHARM,512595
Jai Balaji Industries Limited,,Keynote Financial Services Ltd,JAIBALAJI,512597
Jai Corp Limited,,Adani Enterprises Ltd,JAICORPLTD,512599
Nandani Creation Limited,,Astal Laboratories Ltd,JAIPURKURT,512600
Jamna Auto Industries Limited,,Bhandari Hosiery Exports Ltd,JAMNAAUTO,512608
Jash Engineering Limited,,RLF Ltd,JASH,512618
Jayant Agro Organics Limited,,Regent Enterprises Ltd,JAYAGROGN,512624
Jay Bharat Maruti Limited,,Orbit Exports Ltd,JAYBARMARU,512626
Jayaswal Neco Industries Limited,,Savera Industries Ltd,JAYNECOIND,512634
Jayshree Tea & Industries Limited,,Chrome Silicon Ltd,JAYSREETEA,513005
JB Chemicals & Pharmaceuticals Limited,,Jeet Machine Tools Ltd,JBCHEPHARM,513012
JBM Auto Limited,,Nava Ltd,JBMA,513023
Johnson Controls - Hitachi Air Conditioning India Limited,,Hindusthan Udyog Ltd,JCHAC,513039
Jet Freight Logistics Limited,,Remi Edelstahl Tubulars Ltd,JETFREIGHT,513043
J.G.Chemicals Limited,,GS Auto International Ltd,JGCHEM,513059
JHS Svendgaard Laboratories Limited,,Trans Freight Containers Ltd,JHS,513063
Jindal Photo Limited,,Shivalik Bimetal Controls Ltd,JINDALPHOT,513097
Jindal Poly Films Limited,,Gandhi Special Tubes Ltd,JINDALPOLY,513108
Jindal Saw Limited,,Amforge Industries Ltd,JINDALSAW,513117
Jindal Steel & Power Limited,,Onix Solar Energy Ltd,JINDALSTEL,513119
Jindal Drilling And Industries Limited,,Oricon Enterprises Ltd,JINDRILL,513121
Jindal Worldwide Limited,,Acrow India Ltd,JINDWORLD,513149
Jio Financial Services Limited,,Steel Strips Infrastructures Ltd,JIOFIN,513173
Jain Irrigation Systems Limited,,Pennar Industries Ltd,JISLDVREQS,513228
Jain Irrigation Systems Limited,,Jyoti Structures Ltd,JISLJALEQS,513250
JITF Infralogistics Limited,,Jay Ushin Ltd,JITFINFRA,513252
JK Cement Limited,,Steel Strips Wheels Ltd,JKCEMENT,513262
J.Kumar Infraprojects Limited,,Man Industries (India) Ltd,JKIL,513269
JK Lakshmi Cement Limited,,Imec Services Ltd,JKLAKSHMI,513295
JK Paper Limited,,Modern Steels Ltd,JKPAPER,513303
JK Tyre & Industries Limited,,Golkonda Aluminium Extrusions Ltd,JKTYRE,513309
Jupiter Life Line Hospitals Limited,,Gujarat Toolroom Ltd,JLHL,513337
Jullundur Motor Agency (Delhi) Limited,,Ajmera Realty & Infra India Ltd,JMA,513349
JM Financial Limited,,Cochin Minerals & Rutiles Ltd,JMFINANCIL,513353
JNK India Limited,,India Steel Works Ltd,JNKINDIA,513361
Jocil Limited,,Krishanveer Forge Ltd,JOCIL,513369
Jindal Poly Investment and Finance Company Limited,,Carborundum Universal Ltd,JPOLYINVST,513375
Jaiprakash Power Ventures Limited,,MMTC Ltd,JPPOWER,513377
Jana Small Finance Bank Limited,,Vallabh Steels Ltd,JSFB,513397
Jindal Stainless Limited,,Ashiana Ispat Ltd,JSL,513401
JSW Energy Limited,,P.M. Telelinnks Ltd,JSWENERGY,513403
JSW Holdings Limited,,Smiths & Founders (India) Ltd,JSWHL,513418
JSW Infrastructure Limited,,Bloom Industries Ltd,JSWINFRA,513422
JSW Steel Limited,,Maitri Enterprises Ltd,JSWSTEEL,513430
Jtekt India Limited,,Shah Alloys Ltd,JTEKTINDIA,513436
JTL INDUSTRIES LIMITED,,Elango Industries Ltd,JTLIND,513452
Jubilant Agri and Consumer Products Limited,,Kanishk Steel Industries Ltd,JUBLCPL,513456
Jubilant Foodworks Limited,,Mahalaxmi Seamless Ltd,JUBLFOOD,513460
Jubilant Ingrevia Limited,,Simplex Castings Ltd,JUBLINGREA,513472
Jubilant Pharmova Limited,,Shree Steel Wire Ropes Ltd,JUBLPHARMA,513488
Juniper Hotels Limited,,Sizemasters Technology Ltd,JUNIPER,513496
Just Dial Limited,,Southern Magnesium & Chemicals Ltd,JUSTDIAL,513498
Jupiter Wagons Limited,,Baroda Extrusion Ltd,JWL,513502
Jyothy Labs Limited,,Gujarat Containers Ltd,JYOTHYLAB,513507
Jyoti CNC Automation Limited,,Kalyani Forge Ltd,JYOTICNC,513509
Jyoti Structures Limited,,Panchmahal Steel Ltd,JYOTISTRUC,513511
Kabra Extrusion Technik Limited,,Aditya Ispat Ltd,KABRAEXTRU,513513
Kajaria Ceramics Limited,,Steelcast Ltd,KAJARIACER,513517
Kakatiya Cement Sugar & Industries Limited,,Pitti Engineering Ltd,KAKATCEM,513519
Sai Silks (Kalamandir) Limited,,Pradeep Metals Ltd,KALAMANDIR,513532
Kalyani Commercials Limited,,Gujarat Natural Resources Ltd,KALYANI,513536
Kalyani Forge Limited,,Tamilnadu Steel Tubes Ltd,KALYANIFRG,513540
Kalyan Jewellers India Limited,,Sharda Ispat Ltd,KALYANKJIL,513548
Kamat Hotels (I) Limited,,Mahamaya Steel Industries Ltd,KAMATHOTEL,513554
Kamdhenu Limited,,Nova Iron & Steel Ltd,KAMDHENU,513566
Kamdhenu Ventures Limited,,Sterling Powergensys Ltd,KAMOPAINTS,513575
Kanani Industries Limited,,Hindustan Copper Ltd,KANANIIND,513599
Kanoria Chemicals & Industries Limited,,Tulsyan NEC Ltd,KANORICHEM,513629
Kanpur Plastipack Limited,,Axel Polymers Ltd,KANPRPLA,513642
Kansai Nerolac Paints Limited,,NLC India Ltd,KANSAINER,513683
Kapston Services Limited,,KIC Metaliks Ltd,KAPSTON,513693
Karma Energy Limited,,Solid Stone Company Ltd,KARMAENG,513699
Karur Vysya Bank Limited,,Shilp Gravures Ltd,KARURVYSYA,513709
Kaushalya Infrastructure Development Corporation Limited,,White Organic Agro Ltd,KAUSHALYA,513713
Kavveri Telecom Products Limited,,MFS Intercorp Ltd,KAVVERITEL,513721
Kaya Limited,,Aro Granite Industries Ltd,KAYA,513729
Kaynes Technology India Limited,,Rudra Ecovation Ltd,KAYNES,514010
KBC Global Limited,,Rajkamal Synthetics Ltd,KBCGLOBAL,514028
KCP Limited,,Deepak Spinners Ltd,KCP,514030
KCP Sugar and Industries Corporation Limited,,Loyal Textile Mills Ltd,KCPSUGIND,514036
KDDL Limited,,Himatsingka Seide Ltd,KDDL,514043
KEC International Limited,,BSL Ltd,KEC,514045
Kirloskar Electric Company Limited,,Markobenz Ventures Ltd,KECL,514060
DSJ Keep Learning Limited,,PBM Polytex Ltd,KEEPLEARN,514087
KEI Industries Limited,,Adinath Textiles Ltd,KEI,514113
Kellton Tech Solutions Limited,,Konark Synthetic Ltd,KELLTONTEC,514128
Kernex Microsystems (India) Limited,,Suryalata Spinning Mills Ltd,KERNEX,514138
Kesoram Industries Limited,,Suryavanshi Spinning Mills Ltd,KESORAMIND,514140
Keynote Financial Services Limited,,T T Ltd,KEYFINSERV,514142
Kfin Technologies Limited,,Welspun Living Ltd,KFINTECH,514162
Khadim India Limited,,Indian Acrylics Ltd,KHADIM,514165
Khaitan Chemicals & Fertilizers Limited,,Ganesha Ecosphere Ltd,KHAICHEM,514167
Khaitan (India) Limited,,Ceeta Industries Ltd,KHAITANLTD,514171
Khandwala Securities Limited,,Vardhman Polytex Ltd,KHANDSE,514175
Kalyani Investment Company Limited,,Rishab Special Yarns Ltd,KICL,514177
Kilitch Drugs (India) Limited,,Black Rose Industries Ltd,KILITCH,514183
Krishna Institute of Medical Sciences Limited,,S & T Corporation Ltd,KIMS,514197
Kingfa Science & Technology (India) Limited,,Ramgopal Polytex Ltd,KINGFA,514223
KIOCL Limited,,Sangam India Ltd,KIOCL,514234
Kiri Industries Limited,,TTL Enterprises Ltd,KIRIINDUS,514236
Kirloskar Brothers Limited,,Mkventures Capital Ltd,KIRLOSBROS,514238
Kirloskar Oil Engines Limited,,Kush Industries Ltd,KIRLOSENG,514240
Kirloskar Industries Limited,,Sreechem Resins Ltd,KIRLOSIND,514248
Kirloskar Pneumatic Company Limited,,Surbhi Industries Ltd,KIRLPNU,514260
Kitex Garments Limited,,Seasons Textiles Ltd,KITEX,514264
Kewal Kiran Clothing Limited,,Zenith Fibres Ltd,KKCL,514266
Knowledge Marine & Engineering Works Limited,,Bhilwara Spinners Ltd,KMEW,514272
K.M.Sugar Mills Limited,,Aarvee Denims & Exports Ltd,KMSUGAR,514274
KNR Constructions Limited,,Sanrhea Technical Textiles Ltd,KNRCON,514280
Kohinoor Foods Limited,,Ashima Ltd,KOHINOOR,514286
Kokuyo Camlin Limited,,Pioneer Embroideries Ltd,KOKUYOCMLN,514300
Kolte - Patil Developers Limited,,Vippy Spinpro Ltd,KOLTEPATIL,514302
Kopran Limited,,Jaihind Synthetics Ltd,KOPRAN,514312
Kotak Mahindra Bank Limited,,Raghuvir Synthetics Ltd,KOTAKBANK,514316
Kothari Sugars And Chemicals Limited,,Jattashankar Industries Ltd,KOTARISUG,514318
Kothari Petrochemicals Limited,,Kamadgiri Fashion Ltd,KOTHARIPET,514322
Kothari Products Limited,,Omnitex Industries India Ltd,KOTHARIPRO,514324
K.P. Energy Limited,,Patspin India Ltd,KPEL,514326
KPI Green Energy Limited,,One Global Service Provider Ltd,KPIGREEN,514330
Kalpataru Projects International Limited,,Winsome Yarns Ltd,KPIL,514348
KPIT Technologies Limited,,Premier Polyfilm Ltd,KPITTECH,514354
K.P.R. Mill Limited,,Everlon Financials Ltd,KPRMILL,514358
KRBL Limited,,K&R Rail Engineering Ltd,KRBL,514360
Krebs Biochemicals and Industries Limited,,Yarn Syndicate Ltd,KREBSBIO,514378
Kridhan Infra Limited,,Gujarat Cotex Ltd,KRIDHANINF,514386
Krishana Phoschem Limited,,Garware Synthetics Ltd,KRISHANA,514400
Kriti Industries (India) Limited,,Eco Hotels And Resorts Ltd,KRITI,514402
Kritika Wires Limited,,Sarup Industries Ltd,KRITIKA,514412
Kriti Nutrients Limited,,Mangalam Organics Ltd,KRITINUT,514418
KRN Heat Exchanger and Refrigeration Limited,,Hindustan Adhesives Ltd,KRN,514428
Kronox Lab Sciences Limited,,Blue Pearl Agriventures Ltd,KRONOX,514440
Kross Limited,,Sri KPR Industries Ltd,KROSS,514442
Krsnaa Diagnostics Limited,,LS Industries Ltd,KRSNAA,514446
Krystal Integrated Services Limited,,Jyoti Resins & Adhesives Ltd,KRYSTAL,514448
Ksb Limited,,Mahalaxmi Rubtech Ltd,KSB,514450
Kaveri Seed Company Limited,,Southern Latex Ltd,KSCL,514454
Kshitij Polyline Limited,,Oswal Yarns Ltd,KSHITIJPOL,514460
Kalyani Steels Limited,,Winsome Textile Industries Ltd,KSL,514470
Ksolves India Limited,,Modern Insulators Ltd,KSOLVES,515008
The Karnataka Bank Limited,,Regency Ceramics Ltd,KTKBANK,515018
Kuantum Papers Limited,,Asahi India Glass Ltd,KUANTUM,515030
Lagnam Spintex Limited,,Murudeshwar Ceramics Ltd,LAGNAM,515037
Lakshmi Precision Screws Limited,,Saint Gobain Sekurit India Ltd,LAKPRE,515043
Lorenzini Apparels Limited,,Anant Raj Ltd,LAL,515055
Dr. Lal Path Labs Ltd.,,Madhusudan Industries Ltd,LALPATHLAB,515059
Lambodhara Textiles Limited,,Restile Ceramics Ltd,LAMBODHARA,515085
Lancor Holdings Limited,,Madhav Marbles & Granites Ltd,LANCORHOL,515093
Landmark Cars Limited,,Ramasigns Industries Ltd,LANDMARK,515127
La Opala RG Limited,,Hindusthan National Glass & Industries Ltd,LAOPALA,515145
Lasa Supergenerics Limited,,Haldyn Glass Ltd,LASA,515147
Latent View Analytics Limited,,Duroply Industries Ltd,LATENTVIEW,516003
Latteys Industries Limited,,Shreyans Industries Ltd,LATTEYS,516016
Laurus Labs Limited,,Agio Paper & Industries Ltd,LAURUSLABS,516020
Laxmi Cotspin Limited,,Star Paper Mills Ltd,LAXMICOT,516022
Laxmi Dental Limited,,Pakka Ltd,LAXMIDENTL,516030
LCC Infotech Limited,,Tahmar Enterprises Ltd,LCCINFOTEC,516032
Lemon Tree Hotels Limited,,National Plywood Industries Ltd,LEMONTREE,516062
Lexus Granito (India) Limited,,Arrow Greentech Ltd,LEXUS,516064
Lakshmi Finance & Industrial Corporation Limited,,Vishnu Chemicals Ltd,LFIC,516072
LG Balakrishnan & Bros Limited,,Jumbo Bag Ltd,LGBBROSLTD,516078
Laxmi Goldorna House Limited,,NR Agarwal Industries Ltd,LGHL,516082
Libas Consumer Products Limited,,3P Land Holdings Ltd,LIBAS,516092
Liberty Shoes Limited,,Sangal Papers Ltd,LIBERTSHOE,516096
LIC Housing Finance Limited,,Ventura Textiles Ltd,LICHSGFIN,516098
Life Insurance Corporation Of India,,Shree Karthik Papers Ltd,LICI,516106
Likhitha Infrastructure Limited,,South India Paper Mills Ltd,LIKHITHA,516108
Linc Limited,,Family Care Hospitals Ltd,LINC,516110
Lincoln Pharmaceuticals Limited,,Vindhya Telelinks Ltd,LINCOLN,517015
Linde India Limited,,RIR Power Electronics Ltd,LINDEINDIA,517035
LLOYDS ENGINEERING WORKS LTD-RE,,Ador Welding Ltd,LLOYDS-RE1,517041
LLOYDS ENGINEERING WORKS LIMITED,,International Data Management Ltd,LLOYDSENGG,517044
Lloyds Enterprises Limited,,Salzer Electronics Ltd,LLOYDSENT,517059
Lloyds Metals And Energy Limited,,Jetking Infotrain Ltd,LLOYDSME,517063
LMW Limited,,Ind Agiv Commerce Ltd,LMW,517077
Macrotech Developers Limited,,Aplab Ltd,LODHA,517096
Lokesh Machines Limited,,PCS Technology Ltd,LOKESHMACH,517119
Lords Chloro Alkali Limited,,Usha Martin Ltd,LORDSCHLO,517146
Lotus Eye Hospital and Institute Limited,,SPEL Semiconductor Ltd,LOTUSEYE,517166
Lovable Lingerie Limited,,Subros Ltd,LOVABLE,517168
Loyal Textile Mills Limited,,Edvenswa Enterprises Ltd,LOYALTEX,517170
Landmark Property Development Company Limited,,Pervasive Commodities Ltd,LPDC,517172
Larsen & Toubro Limited,,Honeywell Automation India Ltd,LT,517174
L&T Finance Limited,,Switching Technologies Gunther Ltd,LTF,517201
LT Foods Limited,,Lumax Industries Ltd,LTFOODS,517206
LTIMindtree Limited,,Digispice Technologies Ltd,LTIM,517214
L&T Technology Services Limited,,Calcom Vision Ltd,LTTS,517236
Lumax Industries Limited,,Dynavision Ltd,LUMAXIND,517238
Lumax Auto Technologies Limited,,BCC Fuba India Ltd,LUMAXTECH,517246
Lupin Limited,,Precision Electronics Ltd,LUPIN,517258
Lux Industries Limited,,HBL Engineering Ltd,LUXIND,517271
Laxmi Organic Industries Limited,,S&S Power Switchgear Ltd,LXCHEM,517273
Lyka Labs Limited,,Gujarat Poly Electronics Ltd,LYKALABS,517288
Lypsa Gems & Jewellery Limited,,Gujarat Industries Power Company Ltd,LYPSAGEMS,517300
Mahindra & Mahindra Limited,,Samvardhana Motherson International Ltd,M&M,517334
Mahindra & Mahindra Financial Services Limited,,Mindteck (India) Ltd,M&MFIN,517344
