NSE,,BSE,NSE.SYMBOL,BSE.SYMBOL
Akzo Nobel India Limited,,Hero MotoCorp Ltd,AKZOINDIA,500182
Alankit Limited,,HFCL Ltd,ALANKIT,500183
Albert David Limited,,Himadri Speciality Chemical Ltd,ALBERTDAVD,500184
Alembic Limited,,Hindustan Construction Company Ltd,ALEMBICLTD,500185
Alicon Castalloy Limited,,Hindustan Oil Exploration Company Ltd,ALICON,500186
Alivus Life Sciences Limited,,Agi Greenpac Ltd,ALIVUS,500187
Alkali Metals Limited,,Hindustan Zinc Ltd,ALKALI,500188
Alkem Laboratories Limited,,NDL Ventures Ltd,ALKEM,500189
Alkyl Amines Chemicals Limited,,HMT Ltd,ALKYLAMINE,500191
Allcargo Logistics Limited,,Prag Bosimi Synthetics Ltd,ALLCARGO,500192
Alldigi Tech Limited,,HLV Ltd,ALLDIGI,500193
Almondz Global Securities Limited,,IG Petrochemicals Ltd,ALMONDZ,500199
Alok Industries Limited,,India Glycols Ltd,ALOKINDS,500201
Alpa Laboratories Limited,,India Lease Development Ltd,ALPA,500202
Alphageo (India) Limited,,Margo Finance Ltd,ALPHAGEO,500206
Alps Industries Limited,,Indo Rama Synthetics (India) Ltd,ALPSINDUS,500207
Amber Enterprises India Limited,,Infosys Ltd,AMBER,500209
Ambica Agarbathies & Aroma industries Limited,,Ingersoll-Rand (India) Ltd,AMBICAAGAR,500210
Ambika Cotton Mills Limited,,International Travel House Ltd,AMBIKCO,500213
Ambuja Cements Limited,,Ion Exchange India Ltd,AMBUJACEM,500214
AMD Industries Limited,,Sundrop Brands Ltd,AMDIND,500215
Ami Organics Limited,,Jain Irrigation Systems Ltd,AMIORG,500219
Amj Land Holdings Limited,,Jasch Industries Ltd,AMJLAND,500220
Amines & Plasticizers Limited,,Jindal Poly Films Ltd,AMNPLST,500227
Amrutanjan Health Care Limited,,JSW Steel Ltd,AMRUTANJAN,500228
Anand Rathi Wealth Limited,,Umang Dairies Ltd,ANANDRATHI,500231
Anant Raj Limited,,Kajaria Ceramics Ltd,ANANTRAJ,500233
ANDHRA PAPER LIMITED,,Kakatiya Cement Sugar & Industries Ltd,ANDHRAPAP,500234
The Andhra Sugars Limited,,Kalyani Steels Ltd,ANDHRSUGAR,500235
Angel One Limited,,Whirlpool of India Ltd,ANGELONE,500238
Anik Industries Limited,,KG Denim Ltd,ANIKINDS,500239
Ankit Metal & Power Limited,,Kinetic Engineering Ltd,ANKITMETAL,500240
Anmol India Limited,,Kirloskar Brothers Ltd,ANMOL,500241
Ansal Properties & Infrastructure Limited,,Kirloskar Industries Ltd,ANSALAPI,500243
Antarctica Limited,,Kirloskar Ferrous Industries Ltd,ANTGRAPHIC,500245
Anuh Pharma Limited,,Envair Electrodyne Ltd,ANUHPHR,500246
The Anup Engineering Limited,,Kotak Mahindra Bank Ltd,ANUP,500247
Anupam Rasayan India Limited,,KSB Ltd,ANURAS,500249
Apar Industries Limited,,LG Balakrishnan & Bros Ltd,APARINDS,500250
Anjani Portland Cement Limited,,Trent Ltd,APCL,500251
Apcotex Industries Limited,,LMW Ltd,APCOTEXIND,500252
Apex Frozen Foods Limited,,LIC Housing Finance Ltd,APEX,500253
APL Apollo Tubes Limited,,Lupin Ltd,APLAPOLLO,500257
Alembic Pharmaceuticals Limited,,Lyka Labs Ltd,APLLTD,500259
Apollo Micro Systems Limited,,The Ramco Cements Ltd,APOLLO,500260
Apollo Hospitals Enterprise Limited,,Hybrid Financial Services Ltd,APOLLOHOSP,500262
Apollo Pipes Limited,,Mafatlal Industries Ltd,APOLLOPIPE,500264
Apollo Tyres Limited,,Maharashtra Seamless Ltd,APOLLOTYRE,500265
Apollo Sindoori Hotels Limited,,Maharashtra Scooters Ltd,APOLSINHOT,500266
Aptech Limited,,Majestic Auto Ltd,APTECHT,500267
Aptus Value Housing Finance India Limited,,Manali Petrochemicals Ltd,APTUS,500268
Archidply Industries Limited,,Baroda Rayon Corporation Ltd,ARCHIDPLY,500270
Archies Limited,,Max Financial Services Ltd,ARCHIES,500271
Amara Raja Energy & Mobility Limited,,Mid India Industries Ltd,ARE&M,500277
Rajdarshan Industries Limited,,Mirc Electronics Ltd,ARENTERP,500279
